Env	DistB73	SS	NSS	TS	INBRED	DTT_Inbred	PltYield_Inbred	TSLLEN_Inbred	TSLBCHCNT_Inbred	TSLANG_Inbred	PLTHT_Inbred	UPLFANG_Inbred	LFWDT_Inbred	LFLEN_Inbred	RPR_Inbred	STLKWDT_Inbred	10KWt_Inbred	CobDia_Inbred	KnlHgt_Inbred	EarLength_Inbred	CobWt_Inbred	TotKnlWt_Inbred	DTT_B73	PltYield_B73	TSLLEN_B73	TSLBCHCNT_B73	TSLANG_B73	PLTHT_B73	UPLFANG_B73	LFWDT_B73	LFLEN_B73	RPR_B73	STLKWDT_B73	10KWt_B73	CobDia_B73	KnlHgt_B73	EarLength_B73	CobWt_B73	TotKnlWt_B73	DTT_Hyb	PltYield_Hyb	TSLLEN_Hyb	TSLBCHCNT_Hyb	TSLANG_Hyb	PLTHT_Hyb	UPLFANG_Hyb	LFWDT_Hyb	LFLEN_Hyb	RPR_Hyb	STLKWDT_Hyb	10KWt_Hyb	CobDia_Hyb	KnlHgt_Hyb	EarLength_Hyb	CobWt_Hyb	TotKnlWt_Hyb	DTT_bph	PltYield_bph	TSLLEN_bph	TSLBCHCNT_bph	TSLANG_bph	PLTHT_bph	UPLFANG_bph	LFWDT_bph	LFLEN_bph	RPR_bph	STLKWDT_bph	10KWt_bph	CobDia_bph	KnlHgt_bph	EarLength_bph	CobWt_bph	TotKnlWt_bph
03M	1.35314215	0.002	0.996	0.002	Va35	73	51.14	.	.	.	122	80	93.6	602.6	.	.	2.34	20.134	15.802	122.206	11.56	46.74	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	68	168.52	.	.	.	238	70	97.6	868.8	.	.	2.84	25.528	19.238	186.37	30.58	168.7	0.275	3.775394737	.	.	.	25.35	0.15	2.77	91.305	.	.	0.285	2.103065789	0.832828947	1.286881579	0.793684211	1.693026316
03M	1.26976054	0.003	0.994	0.003	Va59	73	40.42	.	.	.	131	72	94.6	600.8	.	.	2.56	20	15.132	101.294	10.32	39.9	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	64	112.38	.	.	.	229	68	99.4	880.4	.	.	2.34	27.17	15.666	158.448	25.3	112.4	0.275	1.584605263	.	.	.	20.85	3.85	3.27	92.205	.	.	0.395	2.170065789	0.497828947	9.169118421	1.413684211	1.726973684
03M	1.42058343	0.158	0.84	0.002	Va99	75	49.25	.	.	.	121	61	108.4	725.6	.	.	2.85	23.0125	14.045	121.96	14.55	49.3	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	69	182.64	.	.	.	220	76	113.4	896.6	.	.	3.06	27.84	19.254	182.358	29.84	186.48	0.725	2.830394737	.	.	.	25.85	9.35	10.17	29.805	.	.	0.54	0.663815789	0.045671053	1.163881579	0.701315789	2.973026316
03M	1.62643549	0.02	0.724	0.256	VaW6	69	56.66	.	.	.	111	37	97.6	800.2	.	.	1.58	21.968	13.072	182.094	15.82	56.58	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	66	203.32	.	.	.	222	57	101.4	935.4	.	.	2.8	27.002	19.598	212.11	34.82	198.68	2.275	6.535394737	.	.	.	30.85	21.35	4.77	7.495	.	.	0.095	1.186065789	0.532171053	31.23088158	1.336315789	6.613026316
03M	1.21149164	0.159	0.617	0.224	W117HT	64	.	.	.	.	105	30	64.33333333	575.6666667	.	.	.	.	.	.	.	.	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	62	119.74	.	.	.	223	60	92.6	860.8	.	.	2.16	24.12	18.338	166.852	18.74	118.46	4.775	.	.	.	.	33.85	24.85	11.86333334	104.7716667	.	.	.	.	.	.	.	.
03M	1.33163595	0.145	0.853	0.002	W153R	64	56.66666667	.	.	.	100	70	81.6	471.4	.	.	2.733333333	19.91	12.73666667	130.5866667	11.23333333	56.66666667	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	61	173.96	.	.	.	232	60	103	819.8	.	.	3.16	27.578	20.044	182.626	30.98	174.18	4.775	6.538728072	.	.	.	36.35	4.85	3.23	156.905	.	.	0.481666667	2.215065789	0.699837718	5.477214929	0.957017546	6.656359651
03M	1.23053983	0.153	0.845	0.002	W182B	63	73.18	.	.	.	134	50	85.2	636.2	.	.	2.1	20.576	11.558	158.582	12.94	36.56	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	63	173.52	.	.	.	254	68	90.4	840.4	.	.	2.66	28.334	18.106	197.728	36.78	173.66	5.275	14.79539474	.	.	.	19.35	14.85	1.43	74.505	.	.	0.165	1.882065789	1.289171053	19.47488158	0.103684211	3.396973684
03M	1.68527599	0.005	0.993	0.002	W401	60	45.74	.	.	.	130	48	87.8	570.2	.	.	2.08	21.948	13.362	146.094	16.02	44.74	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	62	165.08	.	.	.	214	63	105.4	811.6	.	.	4.62	25.644	18.09	186.134	29.66	162.42	6.775	1.075394737	.	.	.	21.35	15.85	0.13	107.505	.	.	0.155	1.196065789	0.387171053	13.23088158	1.436315789	0.693026316
03M	1.58696506	0.001	0.998	0.001	W64A	71	33.62	.	.	.	142	33	87.2	629.6	.	.	1.4	20.306	9.776	117.45	8.92	33.52	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	64	144.34	.	.	.	243	58	108.8	909.2	.	.	2.42	28.558	17.536	173.324	30.88	149.98	1.275	4.984605263	.	.	.	15.35	23.35	0.43	77.805	.	.	0.185	2.017065789	2.180171053	1.091118421	2.113684211	4.916973684
03M	1.39759392	0.014	0.97	0.016	WD	61	42.8	.	.	.	131	.	74	585	.	.	1.8	18.304	10.946	128.476	8	25.4	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	58	124.32	.	.	.	218	48	96.6	823	.	.	1.96	26.536	16.444	179.542	25.88	124.38	6.275	0.394605263	.	.	.	20.85	.	7.03	100.105	.	.	0.015	3.018065789	1.595171053	4.421881579	2.573684211	8.976973684
03N	1.39759392	0.014	0.972	0.014	33-16	71	51.96	328.8	13.6	73	155	72	98	712.6	8.04	.	1.66	23.254	14.508	127.938	11.1	45.4	68.4	58.37894737	318.3283333	5.66	79.88333333	173.8833333	73.1	89.31111111	782.0133333	10.69789474	.	1.64	29.0643	13.7939	131.5216	17.424	57.669	65	179.32	394.4	9.8	61	212	66	97	914.6	8.7	.	2.24	30.94	20.87	186.54	34.2	179.46	1.3	3.209473684	5.235833333	3.97	3.441666667	9.441666668	0.55	4.344444444	34.70666667	1.328947368	.	0.01	2.90515	0.35705	1.7918	3.162	6.1345
